segment start,segement end,average riding comfort,acoustic comfort,thermal comfort,air quality/ventilation,acceleration & braking,vibration,jerks/shaking,crowdedness,participant id,line
Finsbury Park,Highbury & Islington,1,1,3,4,3,2,1,1,15,Victoria
Highbury & Islington,King's Cross St. Pancras,1,1,3,4,3,2,1,1,15,Victoria
King's Cross St. Pancras,Euston,1,1,3,4,3,2,1,2,15,Victoria
Euston,Warren Street,3,2,2,4,3,3,3,1,15,Victoria
Warren Street,Oxford Circus,3,2,2,4,3,3,3,1,15,Victoria
Oxford Circus,Green Park,2,1,2,3,4,3,3,1,15,Victoria
Green Park,Victoria,1,1,2,2,3,3,2,1,15,Victoria
Victoria,Pimlico,2,1,2,2,3,3,2,1,15,Victoria
Pimlico,Vauxhall,2,2,1,2,3,2,2,1,15,Victoria
Vauxhall,Stockwell,2,1,1,1,3,2,2,1,15,Victoria
Stockwell,Brixton,1,1,1,1,3,2,2,1,15,Victoria
